1999,28
1997,25
2000,25
2001,25
2002,24
1989,21
1994,21
2003,20
1998,20
1996,20
1995,19
2004,18
1966,18
1988,18
1965,18
1967,18
1962,17
1972,17
1968,17
1960,17
1959,17
1963,17
1992,16
1985,16
1993,15
1973,15
1964,14
1990,14
1961,14
2005,14
1969,14
1970,13
1946,13
1991,13
1971,12
1951,12
1979,12
1982,12
1987,12
2006,11
1974,11
1947,11
1978,11
1953,11
1955,11
1983,11
1956,10
1957,10
2007,10
1976,10
1958,9
1986,9
2008,9
1945,9
1954,8
1980,7
1952,7
1950,7
1948,7
1977,7
1942,6
1937,6
1938,6
1943,6
2009,6
1949,6
1981,6
1975,5
1941,5
1984,5
1936,5
1944,4
1940,3
1935,3
1939,2
1934,1
1931,1
1930,1
