1972,104
1968,96
1989,95
1967,91
1973,89
1979,89
1991,88
1994,87
1970,87
1992,86
1976,86
1988,83
1969,82
1974,82
1996,81
1977,81
1946,80
1995,79
1999,78
1978,77
1947,76
2000,76
1975,75
2002,75
1985,74
1987,74
1962,73
1990,72
1982,70
2001,70
1965,69
1998,69
1966,69
1964,69
1945,69
1951,69
1997,68
1948,68
1971,67
1993,67
1981,66
1984,65
1980,65
1986,64
1950,63
1953,62
1960,62
1958,62
2008,62
2004,61
1952,61
2003,61
1983,61
1949,60
1959,60
1954,59
1963,58
1957,57
2007,54
1961,52
1955,52
1938,51
1956,51
2005,51
2006,49
1944,47
1936,43
1943,39
1929,37
1928,37
1935,36
1931,32
1942,32
1934,30
1932,28
1937,27
1939,26
1933,26
1930,24
2009,24
1941,21
1927,21
1940,18
1920,17
1921,13
1926,12
1923,12
1922,11
1925,11
1924,7
1919,6
1917,6
1916,5
1918,4
1913,3
1915,2
1912,1
1908,1
